죄종별(1),죄종별(2),죄종별(3),2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
죄종별(1),죄종별(2),죄종별(3),계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
죄종별(1),죄종별(2),죄종별(3),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
총범죄,소계,소계,1151015,412220,16433,24597,26243,100409,57338,53128,134072,738795,14941,27613,28879,126532,89215,93950,357665,1109936,380130,17641,24401,25563,95894,51973,47511,117147,729806,15691,27018,29848,127699,87962,92589,348999,913202,333567,13180,23537,22373,73782,45247,42880,112568,579635,12375,22071,24135,93603,69758,71793,285900
형법범,소계,소계,497593,164226,8366,10573,10681,42488,22672,21077,48369,333367,7801,12392,13557,59790,41851,43703,154273,534702,173523,10979,12836,12222,46050,22829,21539,47068,361179,9167,14065,14978,67842,45765,46910,162452,449487,152239,9164,14133,11723,38214,19854,18109,41042,297248,7872,12873,13290,52085,37383,37466,136279
형법범,강력범,소계,10286,1809,113,142,142,541,231,208,432,8477,322,428,477,1845,1092,1083,3230,12006,2255,241,185,154,627,290,270,488,9751,421,506,574,2197,1291,1153,3609,13594,2512,152,228,195,634,342,307,654,11082,371,657,656,2155,1509,1319,4415
형법범,강력범,살인,808,95,3,6,11,21,8,10,36,713,20,31,47,135,85,89,306,947,116,4,9,6,28,13,18,38,831,21,36,48,162,81,101,382,842,103,1,4,7,27,13,17,34,739,20,39,33,134,82,76,355
형법범,강력범,강도,3915,1033,86,95,82,343,112,112,203,2882,148,164,200,779,402,390,799,5540,1478,196,136,101,441,178,172,254,4062,238,241,283,1112,566,486,1136,3526,965,81,123,83,286,123,92,177,2561,116,212,179,653,362,341,698
형법범,강력범,강간,4427,579,20,36,33,152,101,69,168,3848,121,178,175,729,483,470,1692,4418,580,30,36,38,143,89,74,170,3838,124,183,189,727,515,456,1644,8237,1340,64,90,98,298,195,186,409,6897,205,362,399,1196,951,811,2973
형법범,강력범,방화,1136,102,4,5,16,25,10,17,25,1034,33,55,55,202,122,134,433,1101,81,11,4,9,15,10,6,26,1020,38,46,54,196,129,110,447,989,104,6,11,7,23,11,12,34,885,30,44,45,172,114,91,389
형법범,절도범,소계,47954,22041,1961,2289,2108,6932,3120,2317,3314,25913,1058,1434,1502,5516,3329,2886,10188,63055,29122,2934,3504,2899,8868,3760,2958,4199,33933,1358,1944,2023,7282,4268,3799,13259,59656,28082,2605,4257,3084,7964,3396,2677,4099,31574,1039,1983,1884,6002,4001,3559,13106
형법범,폭력범,소계,247443,92306,3409,5345,5691,20419,13242,11995,32205,155137,3538,6227,6991,26401,20291,19774,71915,243441,86945,3684,5363,5627,19592,12115,11242,29322,156496,3800,6630,7218,27353,20905,19995,70595,206286,74163,2615,5388,5086,15626,10663,9539,25246,132123,3100,5797,6393,21607,17855,16604,60767
형법범,지능범,소계,116010,32035,2304,1889,1794,10936,3847,4500,6765,83975,1596,2188,2364,16419,9718,12287,39403,123789,36057,2976,2368,2174,12387,4163,4687,7302,87732,1862,2508,2509,18659,10337,12389,39468,100381,32260,3196,3178,2356,10476,3333,3645,6076,68121,2307,2361,2186,13862,7540,9205,30660
형법범,풍속범,소계,30288,8141,181,310,366,1472,1052,1056,3704,22147,378,645,633,2923,2582,2779,12207,43325,10839,578,776,695,2280,1307,1352,3851,32486,620,883,915,4915,3798,4383,16972,27144,7720,163,333,393,1629,1045,1023,3134,19424,219,508,586,2566,2150,2374,11021
