죄종별(1),죄종별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
죄종별(1),죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
죄종별(1),죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
계,소계,871076,293431,13395,17813,18293,61953,34746,40608,106623,577645,11717,18392,22551,82691,59150,76042,307102,833458,272582,10983,15180,17767,58135,34112,33083,103322,560876,10238,16165,22084,82650,60242,63708,305789,844015,271767,11001,15808,17602,58513,33285,32344,103214,572248,10035,17380,23024,85254,61733,64190,310632,881941,275237,12206,17481,18912,61494,33484,32866,98794,606704,10501,19464,24592,92500,65562,69399,324686,796882,248437,10523,15653,17545,55943,30103,29907,88763,548445,8923,17457,22737,83788,58415,62255,294870
강력범죄,소계,14528,2017,121,153,166,446,263,289,579,12511,402,579,649,2132,1393,1615,5741,13966,1686,93,100,136,348,259,200,550,12280,326,458,636,2099,1392,1347,6022,14009,1565,82,87,131,348,202,204,511,12444,359,504,664,1988,1410,1328,6191,14336,1487,66,101,103,339,237,221,420,12849,314,466,621,1999,1374,1454,6621,14694,1714,77,116,119,367,263,224,548,12980,291,461,644,2052,1455,1464,6613
강력범죄,살인기수,196,12,1,-,-,2,1,3,5,184,3,6,6,24,25,15,105,213,19,-,-,-,1,-,3,15,194,5,5,6,35,20,24,99,209,10,-,1,1,2,-,3,3,199,6,3,9,26,23,35,97,198,15,1,2,1,2,1,3,5,183,7,3,12,26,15,24,96,168,11,2,-,2,1,-,1,5,157,2,5,8,31,13,17,81
강력범죄,살인미수등,434,41,2,2,2,13,4,6,12,393,11,17,17,60,59,51,178,391,50,3,7,3,8,10,6,13,341,9,18,18,60,46,40,150,400,43,1,1,8,12,10,3,8,357,8,21,20,50,39,33,186,398,38,3,-,1,10,6,10,8,360,8,19,20,49,39,33,192,349,49,1,2,5,12,5,7,17,300,5,8,16,55,45,32,139
강력범죄,강도,1887,570,72,70,60,130,61,73,104,1317,77,93,87,336,174,162,388,1514,434,52,44,44,92,53,48,101,1080,53,70,104,241,120,140,352,1425,397,44,39,39,108,39,48,80,1028,55,81,80,262,120,117,313,1250,362,34,46,39,87,46,41,69,888,49,74,56,206,104,114,285,1028,259,24,37,24,66,28,26,54,769,32,51,86,167,112,99,222
강력범죄,강간,3023,306,14,23,28,66,46,27,102,2717,96,144,163,533,309,363,1109,2716,221,4,10,16,51,27,18,95,2495,74,117,159,533,291,268,1053,2666,192,7,5,11,40,29,21,79,2474,81,119,146,449,318,276,1085,2676,161,6,12,13,42,19,22,47,2515,88,116,140,499,277,301,1094,2595,232,12,15,21,60,33,23,68,2363,70,105,139,470,264,310,1005
강력범죄,유사강간,77,7,-,1,1,1,1,-,3,70,3,1,2,9,4,9,42,194,15,1,1,-,4,2,1,6,179,5,6,11,28,29,18,82,254,20,1,1,2,4,4,-,8,234,8,11,10,39,37,19,110,296,28,-,1,1,4,6,4,12,268,6,15,10,38,31,23,145,329,30,-,-,7,6,2,7,8,299,2,14,14,41,34,39,155
